Energy,Displacements
10000.0,288.4803
15000.0,426.7193
20000.0,563.8749
25000.0,563.8749
30000.0,835.6976
35000.0,970.6863
40000.0,1102.1658
45000.0,1233.9736
50000.0,1367.4245
55000.0,1498.8873
60000.0,1629.314
65000.0,1757.352
70000.0,1891.558
75000.0,2021.038
80000.0,2148.43
85000.0,2283.914
90000.0,2409.736
95000.0,2537.554
100000.0,2537.554
105000.0,2795.268
110000.0,2916.037
115000.0,3037.93
120000.0,3178.221
125000.0,3295.933
130000.0,3429.937
135000.0,3559.31
140000.0,3676.533
145000.0,3775.232
150000.0,3923.074
